source,col_0,col_1,col_2,col_3,col_4,col_5,col_6,col_7,col_8,col_9,col_10,col_11,col_12,col_13,col_14,col_15,col_16,col_17,col_18,col_19,col_20,col_21,col_22,col_23,col_24,col_25,col_26,col_27,col_28,col_29,col_30
https://results.eci.gov.in/ResultAcGenMay2026/statewiseS251.htm,Status Known For 293 out of 293 Constituencies,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://results.eci.gov.in/ResultAcGenMay2026/statewiseS251.htm,Constituency,Const. No.,Leading Candidate,Leading Party,Trailing Candidate,Trailing Party,Margin,Round,Status,,,,,,,,,,,,,,,,,,,,,,
https://results.eci.gov.in/ResultAcGenMay2026/statewiseS251.htm,ALIPURDUARS,12,PARITOSH DAS,Bharatiya Janata Party i Party Wise State Trends Leading In : 0 Won In : 207 Trailing In : 0,Bharatiya Janata Party,i Party Wise State Trends Leading In : 0 Won In : 207 Trailing In : 0,Leading In,:,0,Won In,:,207,Trailing In,:,0,SUMAN KANJILAL,All India Trinamool Congress i Party Wise State Trends Leading In : 0 Won In : 80 Trailing In : 0,All India Trinamool Congress,i Party Wise State Trends Leading In : 0 Won In : 80 Trailing In : 0,Leading In,:,0,Won In,:,80,Trailing In,:,0,70420,24/24,Result Declared
https://results.eci.gov.in/ResultAcGenMay2026/statewiseS251.htm,Bharatiya Janata Party,i Party Wise State Trends Leading In : 0 Won In : 207 Trailing In : 0,Leading In,:,0,Won In,:,207,Trailing In,:,0,,,,,,,,,,,,,,,,,,,,
https://results.eci.gov.in/ResultAcGenMay2026/statewiseS251.htm,Leading In,:,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://results.eci.gov.in/ResultAcGenMay2026/statewiseS251.htm,Won In,:,207,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://results.eci.gov.in/ResultAcGenMay2026/statewiseS251.htm,Trailing In,:,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://results.eci.gov.in/ResultAcGenMay2026/statewiseS251.htm,All India Trinamool Congress,i Party Wise State Trends Leading In : 0 Won In : 80 Trailing In : 0,Leading In,:,0,Won In,:,80,Trailing In,:,0,,,,,,,,,,,,,,,,,,,,
https://results.eci.gov.in/ResultAcGenMay2026/statewiseS251.htm,Leading In,:,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://results.eci.gov.in/ResultAcGenMay2026/statewiseS251.htm,Won In,:,80,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://results.eci.gov.in/ResultAcGenMay2026/statewiseS251.htm,Trailing In,:,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://results.eci.gov.in/ResultAcGenMay2026/statewiseS251.htm,AMDANGA,102,MOHAMMAD KASEM SIDDIQUE,All India Trinamool Congress i Party Wise State Trends Leading In : 0 Won In : 80 Trailing In : 0,All India Trinamool Congress,i Party Wise State Trends Leading In : 0 Won In : 80 Trailing In : 0,Leading In,:,0,Won In,:,80,Trailing In,:,0,ARINDAM DEY,Bharatiya Janata Party i Party Wise State Trends Leading In : 0 Won In : 207 Trailing In : 0,Bharatiya Janata Party,i Party Wise State Trends Leading In : 0 Won In : 207 Trailing In : 0,Leading In,:,0,Won In,:,207,Trailing In,:,0,2995,20/20,Result Declared
